If you don't have an ORCID, you can easily get one here:   https://orcid.org/ 	
Name	ORCID
Rémi Gau	0000-0002-1535-9767
Siddharth Talwar	0000-0002-2779-8986
Mohamed Rezk	0000-0002-1866-8645
Olivier Collignnon	0000-0003-1882-3550
Roberta Pia Calce	0000-0001-9341-6424
Iqra Shahzad	0000-0002-8724-7668
Marco Barilari	0000-0002-3313-3120
Alice Van Audenhaege 	0000-0002-5276-8818
Ane Gurtubay Antolin	0000-0003-3824-2219
Filippo Cerpelloni	0000-0001-8070-5753
Federica Falagiarda	0000-0001-7844-1605
Friederike Breuer	0000-0002-3020-6590
Francesca Barbero	0000-0003-4445-4402
Ceren Battal	0000-0002-9844-7630
Stefania Mattioni	0000-0001-8279-6118
Jyothirmayi Vadlamudi	0000-0003-1615-8091
Marie Ange Azoury	0000-0003-2161-942X
Jeanne Caron-Guyon	0000-0001-8681-5267
